4bac4d33,Nobutaka Suzuki
92767892,Chih-Wen Liu
8f054d61,Bruno Albertini
61ed77a4,Sandro Rigo
f41a2c46,Guido Araujo
65fda5fa,Cristiano C. de Araujo
286a07c3,Edna Barros
6a4eff31,Willians Azevedo
a07428da,Alex Bobrek
64bfa552,JoAnn M. Paul
0a74b199,Donald E. Thomas
8f63fcd2,Rolf Ernst
d5e95fd5,Gernot Spiegelberg
b8a0d874,Thomas Weber
e4257617,Hermann Kopetz
28855c1f,Alberto L. Sangiovanni-Vincentelli
8d5acf5b,Marek Jersak
10d6d534,Andreas Hansson
fd4fe6fa,Martijn Coenen
6c831005,Kees Goossens
5767816e,Razvan Racu
0fb4f822,Li Li
191d1ed0,Rafik Henia
94d0ccbe,Arne Hamann
8f63fcd2,Rolf Ernst
443d49cf,Hiroaki Inoue
45e3f5f5,Akihisa Ikeno
57080e1e,Tsuyoshi Abe
95d091dc,Junji Sakai
992e88eb,Masato Edahiro
40fd12f5,Tarvo Raudvere
4811c7d6,Ingo Sander
9cec9221,Axel Jantsch
f36be3d3,Srinivasan Murali
b79c6432,Almir Mutapcic
312579d3,David Atienza
c4688aac,Rajesh Gupta
1a32fb9e,Stephen P. Boyd
35c0ae98,Giovanni De Micheli
04799dbc,Antoine Perrin
3ee005b2,Frank Ghenassia
ae243c3e,Mark Thompson
359b865e,Hristo Nikolov
6b49e545,Todor Stefanov
65834ff1,Andy D. Pimentel
b9442350,Cagkan Erbas
9675c423,Simon Polstra
9f36667b,Ed F. Deprettere
5f6cf734,Alexander Viehl
1e36887e,Markus Schwarz
1c2ac449,Oliver Bringmann
99aae9d4,Wolfgang Rosenstiel
714fc052,Michael A. Baker
5d1907c3,Aviral Shrivastava
5f84f562,Karam S. Chatha
367b0d18,Wolfgang Klingauf
e421b52c,Robert Günzel
316ba86b,Christian Schröder
ba138c75,Radu Marculescu
81c290f7,Borivoje Nikolic
28855c1f,Alberto L. Sangiovanni-Vincentelli
2e0504fb,Chong Sun
83a9a181,Li Shang
a64da999,Robert P. Dick
9ac08014,Hanno Scharwächter
e4f67cbf,Jonghee M. Youn
c4e14d52,Rainer Leupers
3a2a6c42,Yunheung Paek
12403b51,Gerd Ascheid
f1354a31,Heinrich Meyr
cc61d038,Wolfgang Haid
bdf13caf,Lothar Thiele
bda5127d,Reinaldo A. Bergamaschi
3119aa18,Indira Nair
b31e5f92,Gero Dittmann
03e2a69c,Hiren D. Patel
546ae89a,Geert Janssen
9c12bc8f,Nagu R. Dhanwada
6c199673,Alper Buyuktosunoglu
623f52f9,Emrah Acar
07a0c174,Gi-Joon Nam
5a6f3067,Dorothy Kucar
55496901,Pradip Bose
596e6846,John A. Darringer
a41bad6e,Guoling Han
3e934469,A. C. H. Ng
f7a765a7,J. W. Weijers
6c9b5a5f,Miguel Glassee
f31f3d8b,Thomas Schuster
3a1ca5e5,Bruno Bougard
3db8600a,Liesbet Van der Perre
5396c684,Yvan Eustache
d7be10ca,Jean-Philippe Diguet
e2210888,Lance Saldanha
7330e2ef,Roman L. Lysecky
451822b9,Eric Cheung
021cdabd,Harry Hsieh
751bdbe4,Felice Balarin
54d21679,Huaxi Gu
da71bb16,Jiang Xu
e3cd9456,Zheng Wang
392355a1,Hamid Shojaei
a6da7f75,Twan Basten
c0c21207,Marc Geilen
8d3b78f1,Phillip Stanley-Marbell
61bf6ffb,Haris Javaid
61ebdf10,Sri Parameswaran
fb7c63b3,Laura Frigerio
3aa2ff50,Fabio Salice
f0d75b50,Miron Abramovici
6c831005,Kees Goossens
3c64a066,Bart Vermeulen
ce1a4996,Jack Greenbaum
799d348f,Neal Stollon
fdc9be3f,Adam Donlin
4cd111f5,Love Singhal
bda0c922,Sejong Oh
65c2fd21,Eli Bozorgzadeh
702e59fb,Jianguo Yao
c4ee8c91,Xue Liu
5e936133,Mingxuan Yuan
5e859ee1,Zonghua Gu
82ff28ed,Kwangyoon Lee
bde80e7d,Alex Orailoglu
4debeb78,Girish Venkataramani
db607b40,Seth Copen Goldstein
e6a4e98c,Greg Stitt
ba70b12d,Gaurav Chaudhari
373234ba,James Coole
8b843639,Chen Huang
9d78f661,David Sheldon
c3a2be4e,Frank Vahid
42a68d0b,Yun Liang
f19cf552,Lei Ju
ee5a6060,Samarjit Chakraborty
94f4db9b,Tulika Mitra
e4581b43,Abhik Roychoudhury
a4f1233b,Paula Herber
ee920eb0,Joachim Fellmuth
2fde00f4,Sabine Glesner
e2adbd6a,Simon Schliecker
d30c0737,Jonas Rox
e4b82d20,Matthias Ivers
8f63fcd2,Rolf Ernst
15bd14f4,Mwaffaq Otoom
64bfa552,JoAnn M. Paul
5e3b41cf,Krutartha Patel
61ebdf10,Sri Parameswaran
2c48dbc9,Vivy Suhendra
e4581b43,Abhik Roychoudhury
94f4db9b,Tulika Mitra
920a68f9,Young-Hwan Park
53a04d64,Sudeep Pasricha
f1577acf,Fadi J. Kurdahi
6fd4c5f6,Nikil Dutt
c3a2be4e,Frank Vahid
96e67ece,Tony Givargis
366f28ac,Dan J. Gale
711d050b,Theo Kluter
d8ea7ddf,Philip Brisk
2c065425,Paolo Ienne
c22fab8b,Edoardo Charbon
201ed10f,Nicola Concer
d3e11699,Michele Petracca
68ad0b91,Luca P. Carloni
66dc780a,Giovanni Beltrame
0d825ab0,Luca Fossati
fc0f666e,Donatella Sciuto
5ff5fb77,Heon-Mo Koo
cec782cd,Prabhat Mishra
a129c38b,Gang Quan
2b404533,Yan Zhang
4ea4ed84,William Wiles
5272fa43,Pei Pei
c2ee10ce,Siddharth Garg
59b6be17,Diana Marculescu
d26d1ea0,Leandro Fiorin
fc89075f,Gianluca Palermo
1c1f864f,Cristina Silvano
97ee715b,Siddharth Choudhuri
96e67ece,Tony Givargis
07d18dca,Felix Reimann
afbce7b4,Michael Glabeta
9bd10566,Martin Lukasiewycz
c178ca76,Joachim Keinert
5f190518,Christian Haubelt
4f31928f,Jürgen Teich
f19cf552,Lei Ju
8d475be0,Bach Khoa Huynh
e4581b43,Abhik Roychoudhury
ee5a6060,Samarjit Chakraborty
5e621120,Jongeun Lee
5d1907c3,Aviral Shrivastava
7d822187,Konstantinos Aisopos
06a042fd,Chien-Chun Chou
a5d12128,Li-Shiuan Peh
19a81dcb,Matthias Krause
e5cdd0c3,Dominik Englert
1c2ac449,Oliver Bringmann
99aae9d4,Wolfgang Rosenstiel
9d78f661,David Sheldon
c3a2be4e,Frank Vahid
42a68d0b,Yun Liang
94f4db9b,Tulika Mitra
714fc052,Michael A. Baker
3d292342,Viswesh Parameswaran
5f84f562,Karam S. Chatha
b7c8b846,Baoxin Li
4b0795cc,Christos Strydis
a942f7cf,Georgi Gaydadjiev
e2adbd6a,Simon Schliecker
4e0f90cd,Mircea Negrean
67a0e456,Gabriela Nicolescu
1119942c,Pierre G. Paulin
8f63fcd2,Rolf Ernst
add6c338,Simon Ogg
16c2a098,Bashir M. Al-Hashimi
5ccfb150,Alexandre Yakovlev
8619bbfb,John P. Grossman
fc60f24b,Cliff Young
1d3a881d,Joseph A. Bank
0996d3e0,Kenneth M. Mackenzie
7e502f1e,Doug Ierardi
3609b2d5,John K. Salmon
097a3c87,Ron O. Dror
24473b0c,David E. Shaw
f7e5795d,Xiaobo Sharon Hu
6a7f6287,Alexander Khitun
52d83122,Konstantin K. Likharev
31ceba39,Michael T. Niemier
c47b8e58,Mingqiang Bao
fb39dfb9,Kang L. Wang
fe1ff206,Herman Akdag
1b88e244,Bernadette Bouchon
c87ee524,Roger Alexis
a33f514a,Gerard Battail
a33f514a,Gerard Battail
a33f514a,Gerard Battail
b87ffb23,J. C. Belfiore
8af77198,Toby Berger
8af77198,Toby Berger
36fa5353,Raymond W. Yeung
8b406983,Anne Bertrand
2d27e6b0,M. Beveraggi
e577ed24,Gérard D. Cohen
0afe1e89,Dominique Le Brigand
0afe1e89,Dominique Le Brigand
d9081712,Paul Camion
d6a09926,Jean-Luc Politano
3a1d49a3,Claude Carlet
4fde6fa7,M. Carral
3a85770f,D. Rotillon
e898d316,J. A. Thiong-Ly
c9ba6e97,I. M. Chakravarti
e577ed24,Gérard D. Cohen
3910aacc,Philippe Godlewski
aa8bed98,Tai-Yang Hwang
71d041bf,J. L. Dalmau
ceda5538,J. A. Delgado
9151d932,Llorenç Huguet i Rotger
01f1fbb0,Inma Ortuño Ortin
817682bc,R. Valle
abe94e21,Jean-Louis Dornstetter
9d0daa22,Yves Driencourt
36bbff29,Jean-Francis Michon
20216bfc,J. Fang
e577ed24,Gérard D. Cohen
3910aacc,Philippe Godlewski
a33f514a,Gerard Battail
45780abd,Patrick Fitzpatrick
1bef5fe8,Graham H. Norton
5c8b1db0,Francisco J. García-Ugalde
1baf1aa2,Arif Ghafoor
5318a114,Patrick Solé
e92e4f90,G. Hakizimana
83b60099,G. Jourdain
20f3ea3c,G. Loubet
5900e4d3,Sami Harari
